GEOID,state,county,noIns
01001,Alabama,Autauga,11.0
01003,Alabama,Baldwin,16.1
01005,Alabama,Barbour,15.3
01007,Alabama,Bibb,13.6
01009,Alabama,Blount,16.5
01011,Alabama,Bullock,17.3
01013,Alabama,Butler,14.4
01015,Alabama,Calhoun,14.2
01017,Alabama,Chambers,14.9
01019,Alabama,Cherokee,14.6
01021,Alabama,Chilton,17.7
01023,Alabama,Choctaw,14.3
01025,Alabama,Clarke,15.1
01027,Alabama,Clay,17.8
01029,Alabama,Cleburne,14.3
01031,Alabama,Coffee,15.0
01033,Alabama,Colbert,13.0
01035,Alabama,Conecuh,16.6
01037,Alabama,Coosa,15.5
01039,Alabama,Covington,15.4
01041,Alabama,Crenshaw,16.3
01043,Alabama,Cullman,16.4
01045,Alabama,Dale,13.8
01047,Alabama,Dallas,14.3
01049,Alabama,DeKalb,20.9
01051,Alabama,Elmore,11.5
01053,Alabama,Escambia,17.0
01055,Alabama,Etowah,14.6
01057,Alabama,Fayette,14.6
01059,Alabama,Franklin,19.9
01061,Alabama,Geneva,17.2
01063,Alabama,Greene,15.1
01065,Alabama,Hale,14.0
01067,Alabama,Henry,15.1
01069,Alabama,Houston,13.5
01071,Alabama,Jackson,15.7
01073,Alabama,Jefferson,12.6
01075,Alabama,Lamar,14.0
01077,Alabama,Lauderdale,13.7
01079,Alabama,Lawrence,16.1
01081,Alabama,Lee,13.4
01083,Alabama,Limestone,14.4
01085,Alabama,Lowndes,14.4
01087,Alabama,Macon,13.0
01089,Alabama,Madison,12.5
01091,Alabama,Marengo,13.3
01093,Alabama,Marion,15.4
01095,Alabama,Marshall,18.8
01097,Alabama,Mobile,14.9
01099,Alabama,Monroe,17.7
01101,Alabama,Montgomery,13.9
01103,Alabama,Morgan,16.1
01105,Alabama,Perry,15.3
01107,Alabama,Pickens,14.3
01109,Alabama,Pike,15.2
01111,Alabama,Randolph,16.8
01113,Alabama,Russell,14.8
01115,Alabama,St. Clair,13.4
01117,Alabama,Shelby,10.6
01119,Alabama,Sumter,16.7
01121,Alabama,Talladega,13.5
01123,Alabama,Tallapoosa,14.3
01125,Alabama,Tuscaloosa,12.2
01127,Alabama,Walker,15.2
01129,Alabama,Washington,15.1
01131,Alabama,Wilcox,16.3
01133,Alabama,Winston,16.3
02013,Alaska,Aleutians East,39.3
02016,Alaska,Aleutians West,25.2
02020,Alaska,Anchorage,16.7
02050,Alaska,Bethel,26.0
02060,Alaska,Bristol Bay,21.7
02068,Alaska,Denali,20.9
02070,Alaska,Dillingham,25.4
02090,Alaska,Fairbanks North Star,16.6
02100,Alaska,Haines,24.5
02110,Alaska,Juneau,17.4
02122,Alaska,Kenai Peninsula,20.9
02130,Alaska,Ketchikan Gateway,21.1
02150,Alaska,Kodiak Island,24.8
02164,Alaska,Lake and Peninsula,30.0
02170,Alaska,Matanuska-Susitna,18.5
02180,Alaska,Nome,27.4
02185,Alaska,North Slope,23.3
02188,Alaska,Northwest Arctic,27.8
02201,Alaska,Prince of Wales-Outer Ketchikan,-1.0
02220,Alaska,Sitka,24.2
02232,Alaska,Skagway-Hoonah-Angoon,-1.0
02240,Alaska,Southeast Fairbanks,24.4
02261,Alaska,Valdez-Cordova,20.3
02270,Alaska,Wade Hampton,25.6
02280,Alaska,Wrangell-Petersburg,-1.0
02282,Alaska,Yakutat,30.7
02290,Alaska,Yukon-Koyukuk,31.4
04001,Arizona,Apache,21.0
04003,Arizona,Cochise,14.2
04005,Arizona,Coconino,18.8
04007,Arizona,Gila,17.6
04009,Arizona,Graham,14.5
04011,Arizona,Greenlee,10.9
04012,Arizona,La Paz,24.0
04013,Arizona,Maricopa,15.6
04015,Arizona,Mohave,19.5
04017,Arizona,Navajo,18.6
04019,Arizona,Pima,16.0
04021,Arizona,Pinal,14.3
04023,Arizona,Santa Cruz,20.7
04025,Arizona,Yavapai,18.1
04027,Arizona,Yuma,19.4
05001,Arkansas,Arkansas,12.9
05003,Arkansas,Ashley,11.7
05005,Arkansas,Baxter,13.5
05007,Arkansas,Benton,14.2
05009,Arkansas,Boone,12.7
05011,Arkansas,Bradley,18.1
05013,Arkansas,Calhoun,12.9
05015,Arkansas,Carroll,19.0
05017,Arkansas,Chicot,14.3
05019,Arkansas,Clark,12.2
05021,Arkansas,Clay,14.6
05023,Arkansas,Cleburne,13.9
05025,Arkansas,Cleveland,11.8
05027,Arkansas,Columbia,13.5
05029,Arkansas,Conway,13.4
05031,Arkansas,Craighead,13.3
05033,Arkansas,Crawford,15.0
05035,Arkansas,Crittenden,11.9
05037,Arkansas,Cross,12.4
05039,Arkansas,Dallas,13.5
05041,Arkansas,Desha,13.0
05043,Arkansas,Drew,12.5
05045,Arkansas,Faulkner,12.5
05047,Arkansas,Franklin,13.5
05049,Arkansas,Fulton,14.7
05051,Arkansas,Garland,15.2
05053,Arkansas,Grant,11.1
05055,Arkansas,Greene,11.2
05057,Arkansas,Hempstead,16.2
05059,Arkansas,Hot Spring,12.9
05061,Arkansas,Howard,17.7
05063,Arkansas,Independence,13.4
05065,Arkansas,Izard,16.6
05067,Arkansas,Jackson,13.9
05069,Arkansas,Jefferson,11.2
05071,Arkansas,Johnson,16.6
05073,Arkansas,Lafayette,16.2
05075,Arkansas,Lawrence,12.5
05077,Arkansas,Lee,13.5
05079,Arkansas,Lincoln,14.6
05081,Arkansas,Little River,13.2
05083,Arkansas,Logan,14.1
05085,Arkansas,Lonoke,10.8
05087,Arkansas,Madison,17.4
05089,Arkansas,Marion,14.5
05091,Arkansas,Miller,12.8
05093,Arkansas,Mississippi,11.9
05095,Arkansas,Monroe,14.0
05097,Arkansas,Montgomery,17.2
05099,Arkansas,Nevada,12.3
05101,Arkansas,Newton,15.9
05103,Arkansas,Ouachita,11.3
05105,Arkansas,Perry,13.5
05107,Arkansas,Phillips,12.6
05109,Arkansas,Pike,19.5
05111,Arkansas,Poinsett,14.1
05113,Arkansas,Polk,16.2
05115,Arkansas,Pope,14.8
05117,Arkansas,Prairie,14.7
05119,Arkansas,Pulaski,12.6
05121,Arkansas,Randolph,13.6
05123,Arkansas,St. Francis,12.3
05125,Arkansas,Saline,10.6
05127,Arkansas,Scott,17.7
